glycolysis,WGCNA,DEGs,glycolysis|DEGs,WGCNA|DEGs,glycolysis|WGCNA|DEGs
PTHLH,,GABRP,,GIPC2,
SCN1A,,UBD,,GMFG,
ZNF280D,,HSPB3,,GPR183,
ATP1B1,,FKBP11,,GUCA2A,
COL11A1,,STRADB,,GUCA2B,
DAB2,,RAB31,,GUCY1B3,
DIO2,,CNNM2,,HAPLN3,
EZR,,FLVCR1,,HCLS1,
FGFR1,,CYP4F2,,HEG1,
GPX2,,RETSAT,,HSD17B2,
JUNB,,AGPAT4,,ICAM1,
NRP1,,TDP2,,IFI16,
PFKP,,KCND3,,IGFBP5,
PPP2R2B,,IGFBP7,,IGSF9,
PTPRO,,ALPI,,IL33,
ATP5F1A,,HLA-DRA,,IL7R,
GPD2,,IGKC,,INPP5J,
NDUFA1,,MT1H,,ISX,
SDHA,,PRDM1,,ITGA5,
SDHB,,MXRA5,,ITGB2,
SDHC,,PRAP1,,KCNN3,
SDHD,,HOXA6,,KLHL5,
SLC25A4,,SLC10A2,,KYNU,
SLC25A6,,CPA2,,LAMC1,
UQCRC1,,OTC,,LAMP3,
HK1,,LAX1,,LDHD,
KHK,,SDR16C5,,LILRB1,
LCT,,COL1A2,,LILRB2,
MPI,,ANPEP,,LRRC19,
PGM1,,GNA11,,LRRC31,
PYGL,,OTOP2,,MCAM,
PYGM,,RGS5,,MEP1A,
TPI1,,CDH5,,METTL7B,
GAPDH,,ARHGDIB,,MGP,
GPI,,CARD6,,MIER3,
ACO2,,DEFB1,,MMP3,
CS,,GXYLT2,,MMP9,
FH,,CYP4X1,,MSN,
IDH2,,CYYR1,,MTMR11,
MDH1,,MT1G,,MYO1A,
OGDH,,CREB3L3,,NAT2,
ACTB,,PLA2G2A,,NNMT,
ACTG1,,SPARC,,OLFML2B,
ANXA8,,TMEM45A,,OSMR,
ATP5F1D,,CXCL9,,P2RY1,
EPHX1,,GZMB,,PBLD,
FGF4,,GIMAP4,,PCDH17,
GFAP,,APLNR,,PDE4B,
GRK4,,S100A9,,PDPN,
GSTP1,,RBP2,,PDZD3,
HPRT1,,ZG16B,,PECAM1,
HSPA5,,CLDN2,,PHLDA1,
KRT1,,CNTN3,,PHLPP2,
KRT19,,GBP5,,PIGZ,
KRT7,,CPXM1,,PIM2,
KRT8,,CFI,,PKIB,
MYCN,,CXCL11,,PLA1A,
P4HB,,NCF2,,PLAU,
PDIA5,,C3,,PLCE1,
PEBP1,,CD38,,PLEKHG6,
PGAM1,,PCSK1,,PPARGC1A,
PGK1,,SNX10,,PRR15,
PKM,,MT1M,,PRRX1,
PLCB3,,CH25H,,PTP4A3,
RAB14,,MUC1,,PTPRR,
ABCA5,,CCL2,,RAC2,
ACIN1,,EVI2B,,RAPGEFL1,
ADGRF5,,ACPP,,RBMS1,
ADM2,,PLEK,,RHOJ,
AGAP2,,GLCCI1,,ROBO1,
AIRIM,,ADAMTS1,,RPS6KA6,
ALK,,GPX7,,SCIN,
ANAPC10,,PCOLCE,,SELENBP1,
ANKRD2,,SIK1,,SELP,
ANKRD46,,CD34,,SEMA6A,
ARHGAP15,,COL1A1,,SERPINB9,
ARHGEF9,,XPNPEP2,,SGK2,
ASIC4,,SLPI,,SLA,
ASPM,,AQP9,,SLC17A4,
ATP10D,,DERL3,,SLC22A5,
AUNIP,,TMEM220,,SLC25A34,
C2CD2L,,MMP1,,SLC26A2,
CA5A,,ICOS,,SLC30A10,
CACNA1S,,CYR61,,SLC39A5,
CDH16,,IFI44,,SLC3A1,
CDK10,,CAPN13,,SLC4A4,
CDK5R2,,GLB1L2,,SLC7A5,
CDON,,SRGN,,SLFN11,
CHEK2,,GEM,,SP140,
CLIC5,,FPR1,,STAP2,
CMC1,,ITGAX,,SULT1A2,
CNNM4,,C8orf4,,SYT11,
CNTLN,,SLC16A9,,TCF4,
COL21A1,,AIM2,,THY1,
CPB2,,OLFM4,,TIMP1,
CPLANE2,,ASPA,,TINAG,
CTAG2,,SULF1,,TM4SF5,
CX3CL1,,RGS2,,TMEM171,
DCAF13,,POU2AF1,,TMEM37,
DCAF17,,COL15A1,,TMEM56,
DHX35,,FCGR3A,,TNC,
DHX57,,COL5A2,,TRHDE,
ENO3,,BCL2A1,,TUBAL3,
ETNPPL,,LCP2,,UGT1A1,
FAM204A,,SLC16A14,,USP2,
FAM222B,,SLC6A20,,VCAM1,
FGF9,,HAVCR1,,VIL1,
FUT3,,CXCL6,,VIM,
GABPB1-IT1,,GJA1,,VIPR1,
GALR3,,PTPRC,,WDR78,
GMPR,,SLC13A2,,WIPF1,
GPR137B,,ANKRD22,,WSCD1,
GPR19,,CXCL10,,YBX2,
GPT,,TMEM154,,ABCA12,
GRID2,,C1S,,ADM,
GSDMD,,ART3,,APOL1,
H3C4,,SAMSN1,,AQP8,
IFNA5,,TM6SF2,,ARNTL2,
IGLJ3,,CA12,,BIRC3,
IL10RA,,TM4SF18,,C2,
IP6K2,,CALCRL,,C2CD4A,
IPCEF1,,IL1A,,C4BPA,
IRAK4,,STEAP4,,C4BPB,
IRF2BP1,,CD79A,,CD55,
JOSD1,,NR1H4,,CDH3,
KATNBL1,,TNFRSF9,,CFB,
KCTD3,,TFF1,,CLDN1,
KLHL1,,SLAMF1,,CXCL1,
KMT2D,,KDR,,CXCL2,
KRT24,,EDNRA,,CXCL3,
KRT5,,REG1A,,DAPP1,
LAMA3,,SELL,,DUOX2,
LAT,,VSIG1,,DUOXA2,
LCOR,,KLHL6,,GBP1,
LIN7B,,CD86,,GBP4,
LONP2,,TWIST1,,GNA15,
LRP5L,,KIAA0125,,HLA-DMA,
LRRC14,,GUCY1A3,,HMGCS2,
LRRC37A2,,RHOH,,IDO1,
MAGEB3,,PDGFRB,,IFITM2,
MAGEH1,,LHFP,,IL1B,
MAP3K14,,CXCL17,,IL1RN,
MAP3K20,,VNN2,,IRAK3,
MARCHF2,,CXCR2,,LPCAT1,
MATN4,,AIFM3,,LRP8,
MCTP1,,PLAUR,,LYN,
MED23,,SLC6A19,,MMP10,
MFGE8,,STS,,MMP12,
MFSD12,,MYEOV,,MMP7,
MNAT1,,SPARCL1,,MT1F,
MSANTD2,,TMEM72,,NOS2,
MSH5,,AKR1B10,,OAS2,
MTRF1,,CTSE,,PADI2,
MYL10,,MNDA,,PAQR5,
NACC1,,PTGDS,,PDZK1IP1,
NFASC,,CCL18,,PI3,
NOL8,,TDO2,,PITPNC1,
NOTCH2NLA,,CCR6,,PLCD1,
NPIPA1,,PNLIPRP2,,REG4,
NR4A1,,CWH43,,RUNDC3B,
NR5A1,,DMBT1,,S100A8,
NUDT11,,TMEM163,,SAA1,
NUMB,,LYZ,,SAA2,
NUP62,,GZMK,,SAMD9L,
NXF2,,REG3A,,SCUBE2,
OR11A1,,LY96,,SERPINA3,
PES1,,P2RY8,,SERPINB5,
PEX19,,CAV1,,SLC19A3,
PHKG2,,CCL4,,SLC6A14,
PIN1,,ALPL,,SLC7A11,
PKD1,,LUM,,TCN1,
PKD1P1,,COL3A1,,TGM2,
PKP1,,LAPTM5,,TMEM63C,
PLA2G4C,,GREM1,,TNIP3,
PLK3,,RGS1,,TRIB2,
POGLUT1,,AREG,,TRIM22,
POR,,SLAMF7,,UGT2A3,
PPCDC,,MCOLN2,,VNN1,
PPP1R12B,,GPR65,,WARS,
PPP1R13B,,CCL20,,ZBP1,
PPP1R17,,PTGS2,,ZC3H12A,
PRPF38B,,LCP1,,,
PRRX2,,SLAMF6,,,
PTPRG,,GSTA1,,,
RAB11FIP1,,HPGD,,,
RALGDS,,CR1,,,
RASL10A,,SLCO1B3,,,
RASSF4,,IL13RA2,,,
RBM14,,CD180,,,
RNPEPL1,,CD274,,,
RS1,,HLA-DOB,,,
S100A14,,GLIPR1,,,
SETBP1,,PTGDR,,,
SETD4,,CSF3R,,,
SHMT1,,LRRK2,,,
SHOX2,,EGR1,,,
SIAH2,,PROK2,,,
SIRPB1,,HGF,,,
SKIL,,TAGAP,,,
SLC16A10,,RASSF2,,,
SLC22A17,,UNC5CL,,,
SLC29A3,,BCL6,,,
SLC35F6,,BTK,,,
SLC38A3,,CLEC4E,,,
SLC7A9,,SERPINB7,,,
SNCB,,IRF4,,,
SNX24,,KMO,,,
SP140L,,FAM65B,,,
SPC25,,CCL3,,,
SPRR1A,,G0S2,,,
STAG3,,COL12A1,,,
STARD3,,CD53,,,
STEAP1B,,SERPINE1,,,
TAF1C,,TREM1,,,
TBX6,,CYP3A4,,,
TCIRG1,,TFPI,,,
TCL1B,,KCNA3,,,
TDRD7,,CCL11,,,
TG,,CORO1A,,,
TGFBRAP1,,ALDH1A2,,,
TMEM115,,BEST2,,,
TNFSF18,,BEST4,,,
TNRC18,,SATB2,,,
TRIM52,,SELE,,,
TSC22D3,,ST3GAL4,,,
TXLNA,,SPINK4,,,
UPK1A,,CFH,,,
VPS52,,CCL3L3,,,
WDR91,,MME,,,
YIPF3,,KRT6B,,,
ZCCHC24,,GFPT2,,,
ZKSCAN4,,SLC22A4,,,
ZNF248,,NETO2,,,
ZNF286A,,FCGR1A,,,
ZNF32,,PXDN,,,
ZNF652,,CDHR1,,,
ZNF821,,NR4A2,,,
ZNF84,,S100A12,,,
ACP5,,P2RX5,,,
ADAM19,,RSPO3,,,
ADARB2,,SPP1,,,
AHSP,,FOS,,,
AIF1,,HNF4G,,,
AK4P3,,TMEM156,,,
AK5,,CXCR1,,,
ALG1L2,,FCGR2B,,,
ANKRD1,,THBS2,,,
ANKRD53,,REG1B,,,
AOC1,,PDZK1,,,
ARHGDIG,,HHLA2,,,
ATF6,,CD37,,,
ATP1B2,,P2RY13,,,
AURKB,,ENPEP,,,
BCAS4,,FPR2,,,
BEST1,,CLDN8,,,
BFSP1,,CA1,,,
BMX,,KCNJ15,,,
BTBD8,,FFAR2,,,
BTN3A1,,FABP2,,,
C1orf105,,SLC9A2,,,
C22orf31,,TNFAIP6,,,
CA6,,HSD11B2,,,
CABIN1,,CA2,,,
CACNG5,,HEPACAM2,,,
CAPN11,,KLK10,,,
CASP2,,IFI44L,,,
CCDC71,,CXCL5,,,
CCDC87,,FN1,,,
CCN4,,FCER1G,,,
CCT8L2,,ZG16,,,
CD1B,,SLC5A1,,,
CD70,,GPR84,,,
CD82,,CXCL13,,,
CDC45,,BANK1,,,
CETN1,,S100A7,,,
CFAP70,,EGFL6,,,
CLCN2,,BTNL3,,,
CLEC7A,,PARP15,,,
CLN6,,IL6,,,
CLPB,,DEFA6,,,
CNGB3,,SLC26A3,,,
COBL,,ENKUR,,,
COLQ,,FCGR2A,,,
COPZ2,,DSG3,,,
CORT,,CCR7,,,
CREB5,,LILRA3,,,
CRIP2,,IL24,,,
CRYGB,,DEFA5,,,
CST2,,CA7,,,
CTSG,,WNT5A,,,
CUBN,,LTF,,,
CXCL8,,FCRL3,,,
CYP2B7P,,CKB,,,
CYP3A43,,CCL19,,,
DCXR,,MS4A1,,,
DEPP1,,INHBA,,,
DNAJC16,,HLA-DRB5,,,
DNAJC28,,TLR10,,,
DNAL4,,SERPINB4,,,
DPP6,,FOSB,,,
EFS,,CD22,,,
ELAVL4,,STAP1,,,
ELOA2,,KLK6,,,
EPHB6,,CCL21,,,
EXO5,,CR2,,,
EYA2,,NMUR2,,,
F2,,MS4A12,,,
FAM215A,,TFPI2,,,
FGD1,,CD177,,,
FGF22,,CEACAM7,,,
FGF6,,CLCA1,,,
FMO6P,,UGT2B15,,,
FRMPD1,,PI15,,,
GABRB2,,UGT2B17,,,
GARNL3,,,,,
GDPD3,,,,,
GIPR,,,,,
GLS2,,,,,
GPA33,,,,,
GPR45,,,,,
GRAPL-AS1,,,,,
GRIA1,,,,,
GRIN2D,,,,,
GRM5,,,,,
H2BC10,,,,,
HCG9,,,,,
HHLA1,,,,,
HOXC5,,,,,
HTN1,,,,,
HTR6,,,,,
IFIT2,,,,,
IFNA10,,,,,
IGKV3D-15,,,,,
IGLV2-14,,,,,
IL23A,,,,,
IL36RN,,,,,
INO80B,,,,,
INSL3,,,,,
IRGC,,,,,
IRX4,,,,,
ITGA8,,,,,
KIAA0513,,,,,
KIF17,,,,,
KIR2DS1,,,,,
KLHL3,,,,,
KREMEN2,,,,,
KRT13,,,,,
LAMC3,,,,,
LGALS7,,,,,
LIMD1,,,,,
LPAR3,,,,,
LRFN3,,,,,
MAPK8,,,,,
MAPK8IP2,,,,,
MCF2L,,,,,
MCTP2,,,,,
MDK,,,,,
MIR600HG,,,,,
MX1,,,,,
MYCT1,,,,,
MYOZ3,,,,,
NPC1L1,,,,,
NRXN2,,,,,
NTN3,,,,,
OR3A2,,,,,
OVGP1,,,,,
OXCT2,,,,,
PAK1IP1,,,,,
PHLDB1,,,,,
PIGV,,,,,
PLA2G2F,,,,,
PLAA,,,,,
PNMT,,,,,
PRDM14,,,,,
PRRG4,,,,,
PTGFR,,,,,
PTPRT,,,,,
RAI1,,,,,
RIMS2,,,,,
RNASEL,,,,,
RNF125,,,,,
RPE65,,,,,
RPRM,,,,,
SARDH,,,,,
SERPINA4,,,,,
SHCBP1L,,,,,
SIX1,,,,,
SLC22A14,,,,,
SLC28A1,,,,,
SLC66A3,,,,,
SMN1,,,,,
SNX17,,,,,
SOS2,,,,,
SPIN2A,,,,,
SYNE3,,,,,
TACR3,,,,,
TEX13B,,,,,
TNNT2,,,,,
TNS4,,,,,
TSKS,,,,,
TTLL3,,,,,
TYRO3,,,,,
USF2,,,,,
USP29,,,,,
USP6NL,,,,,
VPS39,,,,,
WASL,,,,,
WDR25,,,,,
WNT16,,,,,
WNT2,,,,,
ZNF117,,,,,
ZNF157,,,,,
ZNF185,,,,,
ZNF639,,,,,
ZNF750,,,,,
ZNF91,,,,,
ZSCAN12,,,,,
ZSWIM1,,,,,
ALDOA,,,,,
FBP2,,,,,
PFKL,,,,,
PFKM,,,,,
ACACB,,,,,
EMB,,,,,
SLC16A3,,,,,
SLC16A7,,,,,
SLC16A8,,,,,
SLC5A8,,,,,
ABCB6,,,,,
ADORA2B,,,,,
AGL,,,,,
AGRN,,,,,
AK3,,,,,
AK4,,,,,
AKR1A1,,,,,
ALDH7A1,,,,,
ALDH9A1,,,,,
ALG1,,,,,
ANG,,,,,
ANGPTL4,,,,,
ANKZF1,,,,,
ARPP19,,,,,
ARTN,,,,,
AURKA,,,,,
B3GALT6,,,,,
B3GAT1,,,,,
B3GAT3,,,,,
B3GNT3,,,,,
B4GALT1,,,,,
B4GALT2,,,,,
B4GALT4,,,,,
B4GALT7,,,,,
BIK,,,,,
BPNT1,,,,,
CACNA1H,,,,,
CAPN5,,,,,
CASP6,,,,,
CDK1,,,,,
CENPA,,,,,
CHPF,,,,,
CHPF2,,,,,
CHST1,,,,,
CHST12,,,,,
CHST4,,,,,
CHST6,,,,,
CLDN3,,,,,
CLDN9,,,,,
COG2,,,,,
COL5A1,,,,,
COPB2,,,,,
CTH,,,,,
CYB5A,,,,,
DDIT4,,,,,
DEPDC1,,,,,
DLD,,,,,
DPYSL4,,,,,
DSC2,,,,,
ECD,,,,,
EFNA3,,,,,
EGFR,,,,,
EGLN3,,,,,
ENO1,,,,,
ENO2,,,,,
ERO1A,,,,,
EXT1,,,,,
EXT2,,,,,
FAM162A,,,,,
FKBP4,,,,,
G6PD,,,,,
GAL3ST1,,,,,
GALE,,,,,
GALK1,,,,,
GALK2,,,,,
GAPDHS,,,,,
GCLC,,,,,
GFPT1,,,,,
GFUS,,,,,
GLCE,,,,,
GLRX,,,,,
GMPPA,,,,,
GMPPB,,,,,
GNE,,,,,
GNPDA1,,,,,
GOT1,,,,,
GOT2,,,,,
GPC1,,,,,
GPC3,,,,,
GPC4,,,,,
GPR87,,,,,
GUSB,,,,,
GYS1,,,,,
GYS2,,,,,
HAX1,,,,,
HDLBP,,,,,
HMMR,,,,,
HOMER1,,,,,
HS2ST1,,,,,
HS6ST2,,,,,
IDH1,,,,,
IDUA,,,,,
IER3,,,,,
IGFBP3,,,,,
IL13RA1,,,,,
IRS2,,,,,
ISG20,,,,,
KIF20A,,,,,
KIF2A,,,,,
LDHA,,,,,
LDHC,,,,,
LHPP,,,,,
LHX9,,,,,
MDH2,,,,,
ME2,,,,,
MED24,,,,,
MERTK,,,,,
MET,,,,,
MIF,,,,,
MIOX,,,,,
MXI1,,,,,
NANP,,,,,
NASP,,,,,
NDST3,,,,,
NDUFV3,,,,,
NOL3,,,,,
NSDHL,,,,,
NT5E,,,,,
P4HA1,,,,,
P4HA2,,,,,
PAM,,,,,
PAXIP1,,,,,
PC,,,,,
PDK3,,,,,
PFKFB1,,,,,
PGAM2,,,,,
PGLS,,,,,
PGM2,,,,,
PHKA2,,,,,
PKP2,,,,,
PLOD1,,,,,
PLOD2,,,,,
PMM2,,,,,
POLR3K,,,,,
PPFIA4,,,,,
PPIA,,,,,
PPP2CB,,,,,
PRPS1,,,,,
PSMC4,,,,,
PYGB,,,,,
QSOX1,,,,,
RARS1,,,,,
RBCK1,,,,,
RPE,,,,,
RRAGD,,,,,
SAP30,,,,,
SDC1,,,,,
SDC2,,,,,
SDC3,,,,,
SLC25A10,,,,,
SLC25A13,,,,,
SLC35A3,,,,,
SLC37A4,,,,,
SOD1,,,,,
SOX9,,,,,
STC2,,,,,
STMN1,,,,,
TALDO1,,,,,
TFF3,,,,,
TGFA,,,,,
TKTL1,,,,,
TPBG,,,,,
TPST1,,,,,
TXN,,,,,
UGP2,,,,,
VEGFA,,,,,
XYLT2,,,,,
ZNF292,,,,,
ACLY,,,,,
ACO1,,,,,
DLAT,,,,,
DLST,,,,,
IDH3A,,,,,
IDH3B,,,,,
IDH3G,,,,,
OGDHL,,,,,
PDHA1,,,,,
PDHA2,,,,,
PDHB,,,,,
SDHCP5,,,,,
SUCLG1,,,,,
SUCLG2,,,,,
SUCLG2P2,,,,,
AGXT,,,,,
AGXT2,,,,,
ALAS1,,,,,
ALAS2,,,,,
AMT,,,,,
AOC2,,,,,
AOC3,,,,,
BHMT,,,,,
CBS,,,,,
CHDH,,,,,
DAO,,,,,
DMGDH,,,,,
GAMT,,,,,
GATM,,,,,
GCAT,,,,,
GLDC,,,,,
GLYCTK,,,,,
GNMT,,,,,
MAOB,,,,,
PHGDH,,,,,
PIPOX,,,,,
PSAT1,,,,,
PSPH,,,,,
SDS,,,,,
SHMT2,,,,,
SRR,,,,,
ACSS1,,,,,
ACSS2,,,,,
ADH1A,,,,,
ADH1B,,,,,
ADH4,,,,,
ADH5,,,,,
ADH7,,,,,
ALDH1A3,,,,,
ALDH1B1,,,,,
ALDH2,,,,,
ALDH3A1,,,,,
ALDH3A2,,,,,
ALDH3B1,,,,,
ALDH3B2,,,,,
BPGM,,,,,
G6PC1,,,,,
G6PC2,,,,,
GALM,,,,,
GCK,,,,,
HK3,,,,,
LDHAL6A,,,,,
LDHAL6B,,,,,
LDHB,,,,,
PGAM4,,,,,
PGK2,,,,,
PKLR,,,,,
AAAS,,,,,
ADPGK,,,,,
ENO4,,,,,
GCKR,,,,,
GNPDA2,,,,,
HKDC1,,,,,
NDC1,,,,,
NUP107,,,,,
NUP133,,,,,
NUP153,,,,,
NUP155,,,,,
NUP160,,,,,
NUP188,,,,,
NUP205,,,,,
NUP210,,,,,
NUP214,,,,,
NUP35,,,,,
NUP37,,,,,
NUP42,,,,,
NUP43,,,,,
NUP50,,,,,
NUP54,,,,,
NUP58,,,,,
NUP85,,,,,
NUP88,,,,,
NUP93,,,,,
NUP98,,,,,
PFKFB2,,,,,
PFKFB4,,,,,
PGM2L1,,,,,
PGP,,,,,
POM121,,,,,
POM121C,,,,,
PPP2CA,,,,,
PPP2R1A,,,,,
PPP2R1B,,,,,
PPP2R5D,,,,,
PRKACA,,,,,
PRKACB,,,,,
PRKACG,,,,,
RAE1,,,,,
RANBP2,,,,,
SEC13,,,,,
SEH1L,,,,,
TPR,,,,,
SLC2A1,,,,,
MPC1,,,,,
MPC2,,,,,
SLC2A2,,,,,
SLC2A4,,,,,
SLC2A5,,,,,
PRKAA1,,,,,
RB1,,,,,
TP53,,,,,
TIGAR,,,,,
HIF1A,,,,,
RRAD,,,,,
GLTC1,,,,,
MIR7-3HG,,,,,
MTOR,,,,,
MYC,,,,,
SIRT6,,,,,
INS,,,,,
FOXK1,,,,,
SCARNA5,,,,,
HNRNPA1,,,,,
SOD2-OT1,,,,,
AKT1,,,,,
HNRNPA2B1,,,,,
H19,,,,,
PRKAA2,,,,,
PDK1,,,,,
OPA1,,,,,
PVT1,,,,,
FOXK2,,,,,
BSG,,,,,
TPP2,,,,,
VCP,,,,,
YAP1,,,,,
PLEC,,,,,
MATR3,,,,,
TKT,,,,,
BIN1,,,,,
MIR125A,,,,,
CERNA3,,,,,
UCP2,,,,,
FOXM1,,,,,
EP300,,,,,
MSTO1,,,,,
MT-TW,,,,,
MT-TA,,,,,
MT-TM,,,,,
RYR1,,,,,
STIM1,,,,,
PABPN1,,,,,
BAG3,,,,,
MICU1,,,,,
SLC25A1,,,,,
TRC-GCA24-1,,,,,
LINC02605,,,,,
MSTN,,,,,
GPD1,,,,,
MIR21,,,,,
TRAP1,,,,,
UCA1,,,,,
TRIM32,,,,,
POLG,,,,,
YARS2,,,,,
PUS1,,,,,
HULC,,,,,
PRXL2C,,,,,
DBNL,,,,,
LOC129998343,,,,,
VDAC1,,,,,
ACTA1,,,,,
FHL1,,,,,
VHL,,,,,
PTBP1,,,,,
RRM2B,,,,,
TWNK,,,,,
DNA2,,,,,
TK2,,,,,
POLG2,,,,,
CHCHD10,,,,,
HSP90B1,,,,,
LIN28A,,,,,
PPBP,,,,,
MT-TL2,,,,,
