"sample","cohort","set","label","subgroup"
"GSM2869340","GSE107499","discovery",1,"UC"
"GSM2869341","GSE107499","discovery",1,"UC"
"GSM2869342","GSE107499","discovery",1,"UC"
"GSM2869343","GSE107499","discovery",1,"UC"
"GSM2869344","GSE107499","discovery",1,"UC"
"GSM2869345","GSE107499","discovery",1,"UC"
"GSM2869346","GSE107499","discovery",1,"UC"
"GSM2869347","GSE107499","discovery",1,"UC"
"GSM2869348","GSE107499","discovery",1,"UC"
"GSM2869349","GSE107499","discovery",1,"UC"
"GSM2869350","GSE107499","discovery",1,"UC"
"GSM2869351","GSE107499","discovery",1,"UC"
"GSM2869352","GSE107499","discovery",1,"UC"
"GSM2869353","GSE107499","discovery",1,"UC"
"GSM2869354","GSE107499","discovery",1,"UC"
"GSM2869355","GSE107499","discovery",1,"UC"
"GSM2869356","GSE107499","discovery",1,"UC"
"GSM2869357","GSE107499","discovery",1,"UC"
"GSM2869358","GSE107499","discovery",1,"UC"
"GSM2869359","GSE107499","discovery",1,"UC"
"GSM2869360","GSE107499","discovery",1,"UC"
"GSM2869361","GSE107499","discovery",1,"UC"
"GSM2869362","GSE107499","discovery",1,"UC"
"GSM2869363","GSE107499","discovery",1,"UC"
"GSM2869364","GSE107499","discovery",1,"UC"
"GSM2869365","GSE107499","discovery",1,"UC"
"GSM2869366","GSE107499","discovery",1,"UC"
"GSM2869367","GSE107499","discovery",1,"UC"
"GSM2869368","GSE107499","discovery",1,"UC"
"GSM2869391","GSE107499","discovery",1,"UC"
"GSM2869392","GSE107499","discovery",1,"UC"
"GSM2869393","GSE107499","discovery",1,"UC"
"GSM2869394","GSE107499","discovery",1,"UC"
"GSM2869395","GSE107499","discovery",1,"UC"
"GSM2869396","GSE107499","discovery",1,"UC"
"GSM2869397","GSE107499","discovery",1,"UC"
"GSM2869398","GSE107499","discovery",1,"UC"
"GSM2869399","GSE107499","discovery",1,"UC"
"GSM2869400","GSE107499","discovery",1,"UC"
"GSM2869401","GSE107499","discovery",1,"UC"
"GSM2869402","GSE107499","discovery",1,"UC"
"GSM2869403","GSE107499","discovery",1,"UC"
"GSM2869404","GSE107499","discovery",1,"UC"
"GSM2869405","GSE107499","discovery",1,"UC"
"GSM2869406","GSE107499","discovery",1,"UC"
"GSM2869407","GSE107499","discovery",1,"UC"
"GSM2869408","GSE107499","discovery",1,"UC"
"GSM2869409","GSE107499","discovery",1,"UC"
"GSM2869410","GSE107499","discovery",1,"UC"
"GSM2869411","GSE107499","discovery",1,"UC"
"GSM2869412","GSE107499","discovery",1,"UC"
"GSM2869413","GSE107499","discovery",1,"UC"
"GSM2869414","GSE107499","discovery",1,"UC"
"GSM2869415","GSE107499","discovery",1,"UC"
"GSM2869416","GSE107499","discovery",1,"UC"
"GSM2869417","GSE107499","discovery",1,"UC"
"GSM2869418","GSE107499","discovery",1,"UC"
"GSM2869419","GSE107499","discovery",1,"UC"
"GSM2869420","GSE107499","discovery",1,"UC"
"GSM2869421","GSE107499","discovery",1,"UC"
"GSM2869422","GSE107499","discovery",1,"UC"
"GSM2869423","GSE107499","discovery",1,"UC"
"GSM2869424","GSE107499","discovery",1,"UC"
"GSM2869425","GSE107499","discovery",1,"UC"
"GSM2869426","GSE107499","discovery",1,"UC"
"GSM2869427","GSE107499","discovery",1,"UC"
"GSM2869428","GSE107499","discovery",1,"UC"
"GSM2869429","GSE107499","discovery",1,"UC"
"GSM2869430","GSE107499","discovery",1,"UC"
"GSM2869431","GSE107499","discovery",1,"UC"
"GSM1900148","GSE73661","discovery",1,"UC"
"GSM1900154","GSE73661","discovery",1,"UC"
"GSM1900155","GSE73661","discovery",1,"UC"
"GSM1900158","GSE73661","discovery",1,"UC"
"GSM1900172","GSE73661","discovery",1,"UC"
"GSM1900175","GSE73661","discovery",1,"UC"
"GSM1900176","GSE73661","discovery",1,"UC"
"GSM1900180","GSE73661","discovery",1,"UC"
"GSM1900181","GSE73661","discovery",1,"UC"
"GSM1900184","GSE73661","discovery",1,"UC"
"GSM1900185","GSE73661","discovery",1,"UC"
"GSM1900186","GSE73661","discovery",1,"UC"
"GSM1900192","GSE73661","discovery",1,"UC"
"GSM1900195","GSE73661","discovery",1,"UC"
"GSM1900202","GSE73661","discovery",1,"UC"
"GSM1900204","GSE73661","discovery",1,"UC"
"GSM1900206","GSE73661","discovery",1,"UC"
"GSM1900208","GSE73661","discovery",1,"UC"
"GSM1900210","GSE73661","discovery",1,"UC"
"GSM1900213","GSE73661","discovery",1,"UC"
"GSM1900214","GSE73661","discovery",1,"UC"
"GSM1900215","GSE73661","discovery",1,"UC"
"GSM1900217","GSE73661","discovery",1,"UC"
"GSM1900227","GSE73661","discovery",1,"UC"
"GSM1900230","GSE73661","discovery",1,"UC"
"GSM1900233","GSE73661","discovery",1,"UC"
"GSM1900236","GSE73661","discovery",1,"UC"
"GSM1900239","GSE73661","discovery",1,"UC"
"GSM1900241","GSE73661","discovery",1,"UC"
"GSM1900244","GSE73661","discovery",1,"UC"
"GSM1900246","GSE73661","discovery",1,"UC"
"GSM1900248","GSE73661","discovery",1,"UC"
"GSM1900251","GSE73661","discovery",1,"UC"
"GSM1900254","GSE73661","discovery",1,"UC"
"GSM1900257","GSE73661","discovery",1,"UC"
"GSM1900260","GSE73661","discovery",1,"UC"
"GSM1900263","GSE73661","discovery",1,"UC"
"GSM1900265","GSE73661","discovery",1,"UC"
"GSM1900268","GSE73661","discovery",1,"UC"
"GSM1900271","GSE73661","discovery",1,"UC"
"GSM1900274","GSE73661","discovery",1,"UC"
"GSM1900277","GSE73661","discovery",1,"UC"
"GSM1900280","GSE73661","discovery",1,"UC"
"GSM1900283","GSE73661","discovery",1,"UC"
"GSM1900285","GSE73661","discovery",1,"UC"
"GSM1900288","GSE73661","discovery",1,"UC"
"GSM1900291","GSE73661","discovery",1,"UC"
"GSM1900294","GSE73661","discovery",1,"UC"
"GSM1900297","GSE73661","discovery",1,"UC"
"GSM1900299","GSE73661","discovery",1,"UC"
"GSM1900302","GSE73661","discovery",1,"UC"
"GSM1900305","GSE73661","discovery",1,"UC"
"GSM1900307","GSE73661","discovery",1,"UC"
"GSM1900310","GSE73661","discovery",1,"UC"
"GSM1900313","GSE73661","discovery",1,"UC"
"GSM1900314","GSE73661","discovery",1,"UC"
"GSM1900315","GSE73661","discovery",1,"UC"
"GSM1900316","GSE73661","discovery",1,"UC"
"GSM1900317","GSE73661","discovery",1,"UC"
"GSM1900318","GSE73661","discovery",1,"UC"
"GSM1900319","GSE73661","discovery",1,"UC"
"GSM1900320","GSE73661","discovery",1,"UC"
"GSM1900321","GSE73661","discovery",1,"UC"
"GSM1900322","GSE73661","discovery",1,"UC"
"GSM1900323","GSE73661","discovery",1,"UC"
"GSM1900324","GSE73661","discovery",1,"UC"
"GSM1900325","GSE73661","discovery",1,"UC"
"GSM1426090","GSE75214","discovery",1,"UC"
"GSM1426091","GSE75214","discovery",1,"UC"
"GSM1426092","GSE75214","discovery",1,"UC"
"GSM1426093","GSE75214","discovery",1,"UC"
"GSM1426094","GSE75214","discovery",1,"UC"
"GSM1426095","GSE75214","discovery",1,"UC"
"GSM1426096","GSE75214","discovery",1,"UC"
"GSM1426097","GSE75214","discovery",1,"UC"
"GSM1426098","GSE75214","discovery",1,"UC"
"GSM1426099","GSE75214","discovery",1,"UC"
"GSM1426100","GSE75214","discovery",1,"UC"
"GSM1426101","GSE75214","discovery",1,"UC"
"GSM1426102","GSE75214","discovery",1,"UC"
"GSM1426103","GSE75214","discovery",1,"UC"
"GSM1426104","GSE75214","discovery",1,"UC"
"GSM1426105","GSE75214","discovery",1,"UC"
"GSM1426106","GSE75214","discovery",1,"UC"
"GSM1426107","GSE75214","discovery",1,"UC"
"GSM1426108","GSE75214","discovery",1,"UC"
"GSM1426109","GSE75214","discovery",1,"UC"
"GSM1426110","GSE75214","discovery",1,"UC"
"GSM1426111","GSE75214","discovery",1,"UC"
"GSM1426112","GSE75214","discovery",1,"UC"
"GSM1426113","GSE75214","discovery",1,"UC"
"GSM1426114","GSE75214","discovery",1,"UC"
"GSM1426115","GSE75214","discovery",1,"UC"
"GSM1426116","GSE75214","discovery",1,"UC"
"GSM1426117","GSE75214","discovery",1,"UC"
"GSM1426118","GSE75214","discovery",1,"UC"
"GSM1426119","GSE75214","discovery",1,"UC"
"GSM1426120","GSE75214","discovery",1,"UC"
"GSM1426121","GSE75214","discovery",1,"UC"
"GSM1426122","GSE75214","discovery",1,"UC"
"GSM1426123","GSE75214","discovery",1,"UC"
"GSM1426124","GSE75214","discovery",1,"UC"
"GSM1426125","GSE75214","discovery",1,"UC"
"GSM1426126","GSE75214","discovery",1,"UC"
"GSM1426127","GSE75214","discovery",1,"UC"
"GSM1426128","GSE75214","discovery",1,"UC"
"GSM1426129","GSE75214","discovery",1,"UC"
"GSM1426130","GSE75214","discovery",1,"UC"
"GSM1426131","GSE75214","discovery",1,"UC"
"GSM1426132","GSE75214","discovery",1,"UC"
"GSM1426133","GSE75214","discovery",1,"UC"
"GSM1426134","GSE75214","discovery",1,"UC"
"GSM1426135","GSE75214","discovery",1,"UC"
"GSM1426136","GSE75214","discovery",1,"UC"
"GSM1426137","GSE75214","discovery",1,"UC"
"GSM1426138","GSE75214","discovery",1,"UC"
"GSM1426139","GSE75214","discovery",1,"UC"
"GSM1426140","GSE75214","discovery",1,"UC"
"GSM1426141","GSE75214","discovery",1,"UC"
"GSM1426142","GSE75214","discovery",1,"UC"
"GSM1426143","GSE75214","discovery",1,"UC"
"GSM1426144","GSE75214","discovery",1,"UC"
"GSM1426145","GSE75214","discovery",1,"UC"
"GSM1426146","GSE75214","discovery",1,"UC"
"GSM1426147","GSE75214","discovery",1,"UC"
"GSM1426148","GSE75214","discovery",1,"UC"
"GSM1426149","GSE75214","discovery",1,"UC"
"GSM1426150","GSE75214","discovery",1,"UC"
"GSM1426151","GSE75214","discovery",1,"UC"
"GSM1426152","GSE75214","discovery",1,"UC"
"GSM1426153","GSE75214","discovery",1,"UC"
"GSM1426154","GSE75214","discovery",1,"UC"
"GSM1426155","GSE75214","discovery",1,"UC"
"GSM1426156","GSE75214","discovery",1,"UC"
"GSM1426157","GSE75214","discovery",1,"UC"
"GSM1426158","GSE75214","discovery",1,"UC"
"GSM1426159","GSE75214","discovery",1,"UC"
"GSM1426160","GSE75214","discovery",1,"UC"
"GSM1426161","GSE75214","discovery",1,"UC"
"GSM1426162","GSE75214","discovery",1,"UC"
"GSM1426163","GSE75214","discovery",1,"UC"
"GSM1426164","GSE75214","discovery",1,"UC"
"GSM1426165","GSE75214","discovery",1,"UC"
"GSM1426166","GSE75214","discovery",1,"UC"
"GSM1426167","GSE75214","discovery",1,"UC"
"GSM1426168","GSE75214","discovery",1,"UC"
"GSM1426169","GSE75214","discovery",1,"UC"
"GSM1426170","GSE75214","discovery",1,"UC"
"GSM1426171","GSE75214","discovery",1,"UC"
"GSM1426172","GSE75214","discovery",1,"UC"
"GSM1426173","GSE75214","discovery",1,"UC"
"GSM1426174","GSE75214","discovery",1,"UC"
"GSM1426175","GSE75214","discovery",1,"UC"
"GSM1426176","GSE75214","discovery",1,"UC"
"GSM1426177","GSE75214","discovery",1,"UC"
"GSM1426178","GSE75214","discovery",1,"UC"
"GSM1426179","GSE75214","discovery",1,"UC"
"GSM1426180","GSE75214","discovery",1,"UC"
"GSM1426181","GSE75214","discovery",1,"UC"
"GSM1426182","GSE75214","discovery",1,"UC"
"GSM1426183","GSE75214","discovery",1,"UC"
"GSM1426184","GSE75214","discovery",1,"UC"
"GSM1426185","GSE75214","discovery",1,"UC"
"GSM1426186","GSE75214","discovery",1,"UC"
"GSM2332119","GSE87466","discovery",1,"UC"
"GSM2332120","GSE87466","discovery",1,"UC"
"GSM2332121","GSE87466","discovery",1,"UC"
"GSM2332122","GSE87466","discovery",1,"UC"
"GSM2332123","GSE87466","discovery",1,"UC"
"GSM2332124","GSE87466","discovery",1,"UC"
"GSM2332125","GSE87466","discovery",1,"UC"
"GSM2332126","GSE87466","discovery",1,"UC"
"GSM2332127","GSE87466","discovery",1,"UC"
"GSM2332128","GSE87466","discovery",1,"UC"
"GSM2332129","GSE87466","discovery",1,"UC"
"GSM2332130","GSE87466","discovery",1,"UC"
"GSM2332131","GSE87466","discovery",1,"UC"
"GSM2332132","GSE87466","discovery",1,"UC"
"GSM2332133","GSE87466","discovery",1,"UC"
"GSM2332134","GSE87466","discovery",1,"UC"
"GSM2332135","GSE87466","discovery",1,"UC"
"GSM2332136","GSE87466","discovery",1,"UC"
"GSM2332137","GSE87466","discovery",1,"UC"
"GSM2332138","GSE87466","discovery",1,"UC"
"GSM2332139","GSE87466","discovery",1,"UC"
"GSM2332140","GSE87466","discovery",1,"UC"
"GSM2332141","GSE87466","discovery",1,"UC"
"GSM2332142","GSE87466","discovery",1,"UC"
"GSM2332143","GSE87466","discovery",1,"UC"
"GSM2332144","GSE87466","discovery",1,"UC"
"GSM2332145","GSE87466","discovery",1,"UC"
"GSM2332146","GSE87466","discovery",1,"UC"
"GSM2332147","GSE87466","discovery",1,"UC"
"GSM2332148","GSE87466","discovery",1,"UC"
"GSM2332149","GSE87466","discovery",1,"UC"
"GSM2332150","GSE87466","discovery",1,"UC"
"GSM2332151","GSE87466","discovery",1,"UC"
"GSM2332152","GSE87466","discovery",1,"UC"
"GSM2332153","GSE87466","discovery",1,"UC"
"GSM2332154","GSE87466","discovery",1,"UC"
"GSM2332155","GSE87466","discovery",1,"UC"
"GSM2332156","GSE87466","discovery",1,"UC"
"GSM2332157","GSE87466","discovery",1,"UC"
"GSM2332158","GSE87466","discovery",1,"UC"
"GSM2332159","GSE87466","discovery",1,"UC"
"GSM2332160","GSE87466","discovery",1,"UC"
"GSM2332161","GSE87466","discovery",1,"UC"
"GSM2332162","GSE87466","discovery",1,"UC"
"GSM2332163","GSE87466","discovery",1,"UC"
"GSM2332164","GSE87466","discovery",1,"UC"
"GSM2332165","GSE87466","discovery",1,"UC"
"GSM2332166","GSE87466","discovery",1,"UC"
"GSM2332167","GSE87466","discovery",1,"UC"
"GSM2332168","GSE87466","discovery",1,"UC"
"GSM2332169","GSE87466","discovery",1,"UC"
"GSM2332170","GSE87466","discovery",1,"UC"
"GSM2332171","GSE87466","discovery",1,"UC"
"GSM2332172","GSE87466","discovery",1,"UC"
"GSM2332173","GSE87466","discovery",1,"UC"
"GSM2332174","GSE87466","discovery",1,"UC"
"GSM2332175","GSE87466","discovery",1,"UC"
"GSM2332176","GSE87466","discovery",1,"UC"
"GSM2332177","GSE87466","discovery",1,"UC"
"GSM2332178","GSE87466","discovery",1,"UC"
"GSM2332179","GSE87466","discovery",1,"UC"
"GSM2332180","GSE87466","discovery",1,"UC"
"GSM2332181","GSE87466","discovery",1,"UC"
"GSM2332182","GSE87466","discovery",1,"UC"
"GSM2332183","GSE87466","discovery",1,"UC"
"GSM2332184","GSE87466","discovery",1,"UC"
"GSM2332185","GSE87466","discovery",1,"UC"
"GSM2332186","GSE87466","discovery",1,"UC"
"GSM2332187","GSE87466","discovery",1,"UC"
"GSM2332188","GSE87466","discovery",1,"UC"
"GSM2332189","GSE87466","discovery",1,"UC"
"GSM2332190","GSE87466","discovery",1,"UC"
"GSM2332191","GSE87466","discovery",1,"UC"
"GSM2332192","GSE87466","discovery",1,"UC"
"GSM2332193","GSE87466","discovery",1,"UC"
"GSM2332194","GSE87466","discovery",1,"UC"
"GSM2332195","GSE87466","discovery",1,"UC"
"GSM2332196","GSE87466","discovery",1,"UC"
"GSM2332197","GSE87466","discovery",1,"UC"
"GSM2332198","GSE87466","discovery",1,"UC"
"GSM2332199","GSE87466","discovery",1,"UC"
"GSM2332200","GSE87466","discovery",1,"UC"
"GSM2332201","GSE87466","discovery",1,"UC"
"GSM2332202","GSE87466","discovery",1,"UC"
"GSM2332203","GSE87466","discovery",1,"UC"
"GSM2332204","GSE87466","discovery",1,"UC"
"GSM2332205","GSE87466","discovery",1,"UC"
"GSM1162227","GSE47908","external",0,"Control"
"GSM1162228","GSE47908","external",0,"Control"
"GSM1162229","GSE47908","external",0,"Control"
"GSM1162230","GSE47908","external",0,"Control"
"GSM1162231","GSE47908","external",0,"Control"
"GSM1162232","GSE47908","external",0,"Control"
"GSM1162233","GSE47908","external",0,"Control"
"GSM1162234","GSE47908","external",0,"Control"
"GSM1162235","GSE47908","external",0,"Control"
"GSM1162236","GSE47908","external",0,"Control"
"GSM1162237","GSE47908","external",0,"Control"
"GSM1162238","GSE47908","external",0,"Control"
"GSM1162239","GSE47908","external",0,"Control"
"GSM1162240","GSE47908","external",0,"Control"
"GSM1162241","GSE47908","external",0,"Control"
"GSM1162248","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162249","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162250","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162251","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162252","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162253","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162254","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162255","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162256","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162257","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162258","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162259","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162260","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162261","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162262","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162263","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162264","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162265","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162266","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162267","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162268","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162269","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162270","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162271","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162272","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162273","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162274","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162275","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162276","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162277","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162278","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162279","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162280","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162281","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162282","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162283","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162284","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162285","GSE47908","external",1,"UC_non_dysplasia"
"GSM1162286","GSE47908","external",1,"UC_non_dysplasia"
"GSM337490","GSE13367","external",1,"UC_inflamed"
"GSM337491","GSE13367","external",1,"UC_non_inflamed"
"GSM337492","GSE13367","external",0,"Control"
"GSM337494","GSE13367","external",1,"UC_inflamed"
"GSM337495","GSE13367","external",1,"UC_inflamed"
"GSM337496","GSE13367","external",1,"UC_inflamed"
"GSM337497","GSE13367","external",1,"UC_non_inflamed"
"GSM337498","GSE13367","external",0,"Control"
"GSM337499","GSE13367","external",1,"UC_non_inflamed"
"GSM337500","GSE13367","external",1,"UC_inflamed"
"GSM337501","GSE13367","external",0,"Control"
"GSM337502","GSE13367","external",0,"Control"
"GSM337503","GSE13367","external",1,"UC_inflamed"
"GSM337504","GSE13367","external",0,"Control"
"GSM337505","GSE13367","external",0,"Control"
"GSM337506","GSE13367","external",1,"UC_non_inflamed"
"GSM337507","GSE13367","external",1,"UC_non_inflamed"
"GSM337508","GSE13367","external",1,"UC_non_inflamed"
"GSM337509","GSE13367","external",0,"Control"
"GSM337510","GSE13367","external",1,"UC_non_inflamed"
"GSM337511","GSE13367","external",0,"Control"
"GSM337512","GSE13367","external",0,"Control"
"GSM337513","GSE13367","external",1,"UC_inflamed"
"GSM337514","GSE13367","external",1,"UC_non_inflamed"
"GSM337515","GSE13367","external",1,"UC_inflamed"
"GSM337516","GSE13367","external",0,"Control"
"GSM337517","GSE13367","external",1,"UC_non_inflamed"
